k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,1,bndmq,first,0,1,64,10418,150,100000000,100012800,188091,65575543,65827533,3937.344,2938.922,0.655671504,65579480.344,0.655710872,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,1,1,64,10418,150,100000000,100012800,31799,65722884,65776425,836.578,496.859,0.657144725,65723720.578,0.657153090,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,2,1,64,10418,150,100000000,100012800,19316,63964530,64007750,675.312,301.812,0.639563436,63965205.312,0.639570188,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,3,1,64,10418,150,100000000,100012800,21330,63448133,63494079,717.906,333.281,0.634400127,63448850.906,0.634407305,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,4,1,64,10418,150,100000000,100012800,20258,64651851,64694380,664.516,316.531,0.646435766,64652515.516,0.646442411,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,0,1,64,10418,150,100000000,100012800,598085,26857997,27476621,9666.000,9345.078,0.268545596,26867663.000,0.268642244,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,1,1,64,10418,150,100000000,100012800,664520,28023050,28706035,10671.641,10383.125,0.280194635,28033721.641,0.280301338,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,2,1,64,10418,150,100000000,100012800,561357,27440343,28020786,9069.422,8771.203,0.274368311,27449412.422,0.274458993,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,3,1,64,10418,150,100000000,100012800,581745,26753069,27359179,9470.469,9089.766,0.267496450,26762539.469,0.267591143,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,4,1,64,10418,150,100000000,100012800,568621,28010227,28605597,9302.656,8884.703,0.280066421,28019529.656,0.280159436,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,0,1,64,10418,150,100000000,100012800,15018,122698423,122717269,294.469,234.656,1.226827196,122698717.469,1.226830140,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,1,1,64,10418,150,100000000,100012800,13555,119108328,119125159,262.984,211.797,1.190930841,119108590.984,1.190933470,8819754129215092097,478909,478909,8819754129215092097
