k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
4,1,all,aho_corasick,0.674631801,bndmq,81.4521
4,1,first,aho_corasick,0.274458993,bndmq,135.5333
4,2,all,bndmq,2.392126458,hash,7.5385
4,2,first,bndmq,1.035799109,hash,9.9154
4,3,all,hash,2.901773050,bndmq,20.0104
4,3,first,hash,1.064211181,bndmq,15.9390
4,4,all,aho_corasick,2.204200145,hash,37.1342
4,4,first,aho_corasick,0.822169323,hash,22.2597
4,8,all,aho_corasick,2.393909536,hash,77.4947
4,8,first,aho_corasick,0.580882351,hash,46.7664
4,16,all,aho_corasick,2.660640366,hash,74.5944
4,16,first,aho_corasick,0.372878410,hash,40.3987
4,32,all,aho_corasick,3.338173735,hash,97.1262
4,32,first,aho_corasick,0.305886223,hash,35.3052
4,64,all,aho_corasick,4.881215228,hash,113.0356
4,64,first,aho_corasick,0.247406568,hash,32.8926
4,91,first,aho_corasick,0.225530822,hash,25.0618
4,108,first,aho_corasick,0.206385332,hash,23.3386
4,118,first,hash,0.236298276,aho_corasick,1.2508
4,128,all,aho_corasick,7.777338540,hash,33.8416
4,128,first,hash,0.177392245,aho_corasick,26.7194
4,256,all,aho_corasick,7.146520727,hash,4.5148
4,256,first,hash,0.093443243,aho_corasick,8.6224
5,128,first,aho_corasick,0.336951856,hash,19.9804
5,256,first,aho_corasick,0.293019684,hash,22.2220
6,1,all,aho_corasick,0.610267840,bndmq,37.5299
6,1,first,aho_corasick,0.326316174,bndmq,96.8120
6,2,all,bndmq,1.631246349,hash,30.6347
6,2,first,bndmq,1.210162199,hash,20.6211
6,3,all,hash,2.207940560,bndmq,11.4028
6,3,first,hash,1.491032471,bndmq,13.5625
6,4,all,aho_corasick,2.111245102,hash,6.7867
6,4,first,aho_corasick,1.441128658,hash,6.8394
6,8,all,aho_corasick,2.157530813,hash,22.5719
6,8,first,aho_corasick,1.385618927,hash,24.0671
6,16,all,aho_corasick,2.163793991,hash,29.6217
6,16,first,aho_corasick,1.300558412,hash,16.6060
6,32,all,aho_corasick,2.208193389,hash,27.6204
6,32,first,aho_corasick,1.161958934,hash,12.3656
6,64,all,aho_corasick,2.266005592,hash,31.2757
6,64,first,aho_corasick,0.876512625,hash,17.6679
6,128,all,aho_corasick,2.217889944,hash,59.0757
6,128,first,aho_corasick,0.612619345,hash,12.9944
6,256,all,aho_corasick,3.081894746,hash,48.0485
6,256,first,aho_corasick,0.467760544,hash,11.2132
6,1000,all,aho_corasick,5.832437245,hash,84.3077
6,1000,first,aho_corasick,0.352689385,hash,8.3274
7,1,all,aho_corasick,0.582261265,bndmq,11.5088
7,4,all,aho_corasick,2.134399833,hash,5.5153
7,4,first,aho_corasick,1.559374128,hash,2.0017
7,256,first,aho_corasick,0.979783910,hash,12.9913
7,360,first,aho_corasick,0.880127290,hash,46.6427
7,506,first,hash,0.818131044,aho_corasick,5.1260
7,1000,all,aho_corasick,3.925345419,hash,15.6672
7,1000,first,hash,0.513725983,aho_corasick,13.8804
8,1,all,bndmq,0.581735661,aho_corasick,0.2674
8,1,first,aho_corasick,0.323828796,bndmq,37.4556
8,2,all,bndmq,1.091499597,hash,90.0620
8,2,first,bndmq,0.796156709,hash,79.0423
8,4,all,bndmq,2.028116141,aho_corasick,3.1403
8,4,first,bndmq,1.510705763,aho_corasick,1.0444
8,5,all,aho_corasick,2.153395867,hash,8.2992
8,5,first,aho_corasick,1.515196741,hash,7.0433
8,6,all,aho_corasick,2.034848274,hash,17.7284
8,6,first,aho_corasick,1.515809121,hash,10.4396
8,8,all,aho_corasick,2.091246601,hash,24.7202
8,8,first,aho_corasick,1.513170341,hash,18.4815
8,16,all,aho_corasick,2.061832985,hash,25.7956
8,16,first,aho_corasick,1.576898697,hash,15.2631
8,32,all,aho_corasick,2.131406726,hash,23.1524
8,32,first,aho_corasick,1.579950843,hash,14.4654
8,64,all,aho_corasick,2.080709414,hash,36.0582
8,64,first,aho_corasick,1.602528895,hash,21.9426
8,128,all,aho_corasick,2.184170792,hash,23.1391
8,128,first,aho_corasick,1.576479482,hash,5.2712
8,181,first,aho_corasick,1.494391961,hash,50.7755
8,256,all,aho_corasick,2.449501811,hash,8.5378
8,256,first,aho_corasick,1.498181474,hash,0.7576
8,360,all,aho_corasick,2.642533415,hash,40.5701
8,360,first,aho_corasick,1.551523267,hash,32.1086
8,427,all,aho_corasick,3.018465083,hash,184.0527
8,427,first,aho_corasick,1.557905714,hash,169.9194
8,506,all,hash,2.821993386,aho_corasick,3.6927
8,506,first,hash,1.296722377,aho_corasick,15.2420
8,1000,all,hash,2.987557195,aho_corasick,14.5950
8,1000,first,hash,1.003406263,aho_corasick,31.1122
8,10000,all,hash,8.881998496,aho_corasick,56.2705
8,10000,first,hash,0.490378559,aho_corasick,109.9937
9,5,all,aho_corasick,2.163752668,bndmq,1.1104
9,5,first,aho_corasick,1.563973531,bndmq,3.9821
10,1,all,bndmq,0.452592496,aho_corasick,30.1461
10,1,first,aho_corasick,0.336767670,bndmq,4.2996
10,2,all,bndmq,0.867732047,hash,143.0149
10,2,first,bndmq,0.645320252,hash,121.5049
10,4,all,bndmq,1.607443475,aho_corasick,35.7930
10,4,first,bndmq,1.163766522,aho_corasick,30.2850
10,5,all,bndmq,1.868111519,aho_corasick,14.5223
10,5,first,bndmq,1.452614439,aho_corasick,13.2041
10,6,all,aho_corasick,2.165117038,bndmq,10.0801
10,6,first,aho_corasick,1.622556002,hash,6.6422
10,8,all,aho_corasick,2.179499088,hash,17.3549
10,8,first,aho_corasick,1.585095936,hash,15.5787
10,16,all,aho_corasick,2.085839756,hash,24.4480
10,16,first,aho_corasick,1.521196003,hash,18.6094
10,32,all,aho_corasick,2.129428750,hash,22.8247
10,32,first,aho_corasick,1.551359539,hash,18.3876
10,64,all,aho_corasick,2.187182323,hash,16.6000
10,64,first,aho_corasick,1.568618296,hash,15.5073
10,128,all,aho_corasick,2.298867662,hash,14.6279
10,128,first,aho_corasick,1.660816153,hash,16.0765
10,181,first,aho_corasick,1.711491402,hash,54.5030
10,256,all,aho_corasick,2.467504645,hash,4.8997
10,256,first,aho_corasick,1.804474231,hash,5.4542
10,360,all,aho_corasick,2.733217544,hash,26.3067
10,360,first,aho_corasick,2.015850138,hash,20.4644
10,427,all,aho_corasick,2.684097882,hash,125.0097
10,427,first,aho_corasick,2.001126658,hash,128.9713
10,506,all,hash,2.581523547,aho_corasick,5.3194
10,506,first,hash,1.831045908,aho_corasick,12.7592
10,1000,all,hash,2.540278969,aho_corasick,37.1588
10,1000,first,hash,1.783112374,aho_corasick,42.2342
10,10000,all,hash,3.337928884,aho_corasick,182.5793
10,10000,first,hash,1.508977362,aho_corasick,198.3894
10,100000,all,hash,10.058145004,,
10,100000,first,hash,0.849431711,aho_corasick,446.5748
10,1000000,first,hash,1.308107434,aho_corasick,965.2185
11,1,first,bndmq,0.317333439,aho_corasick,5.3413
11,4,first,bndmq,1.059580868,aho_corasick,44.7051
11,6,all,bndmq,2.032868317,aho_corasick,0.8158
11,16,first,aho_corasick,1.589151495,hash,13.1816
11,64,first,aho_corasick,1.575676517,hash,15.7091
11,256,first,hash,1.882861074,aho_corasick,0.3928
12,1,all,bndmq,0.391092899,aho_corasick,58.7893
12,1,first,bndmq,0.314665128,aho_corasick,12.8077
12,2,all,bndmq,0.687628563,hash,198.2570
12,2,first,bndmq,0.525947395,hash,184.3389
12,4,all,bndmq,1.249433602,aho_corasick,72.8544
12,4,first,bndmq,0.957504956,aho_corasick,62.5921
12,6,all,bndmq,1.834910252,aho_corasick,17.5169
12,6,first,bndmq,1.460616827,aho_corasick,5.5838
12,7,all,bndmq,2.131250468,aho_corasick,0.4222
12,7,first,aho_corasick,1.540778978,bndmq,4.2355
12,8,all,aho_corasick,2.090224669,bndmq,16.4170
12,8,first,aho_corasick,1.570888997,hash,13.1053
12,16,all,aho_corasick,2.037955725,hash,24.4364
12,16,first,aho_corasick,1.524642276,hash,17.0111
12,32,all,aho_corasick,2.142693302,hash,18.9233
12,32,first,aho_corasick,1.568220457,hash,13.2109
12,64,all,aho_corasick,2.170908595,hash,13.0555
12,64,first,aho_corasick,1.616239138,hash,17.2075
12,128,all,aho_corasick,2.298565598,hash,13.2683
12,128,first,aho_corasick,1.681768411,hash,11.6658
12,181,first,aho_corasick,1.819569711,hash,33.1467
12,215,first,aho_corasick,1.828765467,hash,167.8971
12,235,first,hash,1.835483574,aho_corasick,1.0564
12,256,all,aho_corasick,2.531612917,hash,9.0366
12,256,first,hash,1.897636145,aho_corasick,0.5752
12,360,all,aho_corasick,2.627235386,hash,36.4463
12,427,all,aho_corasick,2.668267883,hash,209.3868
12,506,all,hash,2.533378013,aho_corasick,14.3491
12,1000,all,hash,2.533240844,aho_corasick,47.3743
12,1000,first,hash,1.858702693,aho_corasick,71.4125
12,10000,all,hash,3.097462305,aho_corasick,200.9535
12,10000,first,hash,2.234127312,aho_corasick,210.5126
12,100000,all,hash,6.061109678,,
12,100000,first,hash,3.614037812,aho_corasick,331.6594
12,1000000,all,hash,15.848476863,,
