k,patterns,algorithm,mode,status,wall_ms,detail
4,1,bndmq,first,ok,476,""
4,1,aho_corasick,first,ok,275,""
4,1,hash,first,ok,752,""
4,2,aho_corasick,first,ok,1203,""
4,2,hash,first,ok,702,""
4,2,bndmq,first,ok,652,""
4,4,hash,first,ok,652,""
4,4,bndmq,first,ok,852,""
4,4,aho_corasick,first,ok,551,""
4,8,bndmq,first,ok,953,""
4,8,aho_corasick,first,ok,426,""
4,8,hash,first,ok,576,""
4,16,bndmq,first,ok,1003,""
4,16,hash,first,ok,401,""
4,16,aho_corasick,first,ok,326,""
4,32,hash,first,ok,351,""
4,32,aho_corasick,first,ok,301,""
4,32,bndmq,first,ok,1028,""
4,64,hash,first,ok,301,""
4,64,aho_corasick,first,ok,250,""
4,64,bndmq,first,ok,1028,""
4,128,aho_corasick,first,ok,250,""
4,128,bndmq,first,ok,1028,""
4,128,hash,first,ok,225,""
4,256,bndmq,first,ok,1028,""
4,256,hash,first,ok,200,""
4,256,aho_corasick,first,ok,200,""
4,1000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1,bndmq,all,ok,752,""
4,1,aho_corasick,all,ok,476,""
4,1,hash,all,ok,1254,""
4,2,bndmq,all,ok,1354,""
4,2,aho_corasick,all,ok,2658,""
4,2,hash,all,ok,1404,""
4,4,aho_corasick,all,ok,1254,""
4,4,hash,all,ok,1655,""
4,4,bndmq,all,ok,2409,""
4,8,hash,all,ok,2258,""
4,8,aho_corasick,all,ok,1329,""
4,8,bndmq,all,ok,4666,""
4,16,aho_corasick,all,ok,1480,""
4,16,bndmq,all,ok,9105,""
4,16,hash,all,ok,2483,""
