k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
4,1,all,0,hash,0.000000,466.161614
4,1,all,1,bndmq,466.161614,15775.179595
4,1,all,2,aho_corasick,15775.179595,
4,1,first,0,hash,0.000000,925.696070
4,1,first,1,bndmq,925.696070,23524.129516
4,1,first,2,aho_corasick,23524.129516,
4,2,all,0,hash,0.000000,4770.677159
4,2,all,1,bndmq,4770.677159,
4,2,first,0,hash,0.000000,8709.067373
4,2,first,1,bndmq,8709.067373,
4,4,all,0,hash,0.000000,16636.509073
4,4,all,1,aho_corasick,16636.509073,
4,4,first,0,hash,0.000000,69175.886960
4,4,first,1,aho_corasick,69175.886960,
4,8,all,0,hash,0.000000,9393.476908
4,8,all,1,aho_corasick,9393.476908,
4,8,first,0,hash,0.000000,73369.438086
4,8,first,1,aho_corasick,73369.438086,
4,16,all,0,hash,0.000000,14604.217417
4,16,all,1,aho_corasick,14604.217417,
4,16,first,0,hash,0.000000,158583.687733
4,16,first,1,aho_corasick,158583.687733,
4,32,all,0,hash,0.000000,11071.659310
4,32,all,1,aho_corasick,11071.659310,
4,32,first,0,hash,0.000000,318047.302520
4,32,first,1,aho_corasick,318047.302520,
4,64,all,0,hash,0.000000,10216.022737
4,64,all,1,aho_corasick,10216.022737,
4,64,first,0,hash,0.000000,758857.384267
4,64,first,1,aho_corasick,758857.384267,
4,128,all,0,hash,0.000000,33960.202080
4,128,all,1,aho_corasick,33960.202080,
4,128,first,0,hash,0.000000,
4,256,all,0,hash,0.000000,419684.976584
4,256,all,1,aho_corasick,419684.976584,
4,256,first,0,hash,0.000000,
6,1,all,0,hash,0.000000,320.480497
6,1,all,1,bndmq,320.480497,42000.115126
6,1,all,2,aho_corasick,42000.115126,
6,1,first,0,hash,0.000000,1234.805150
6,1,first,1,bndmq,1234.805150,29574.997097
6,1,first,2,aho_corasick,29574.997097,
6,2,all,0,hash,0.000000,1783.316435
6,2,all,1,bndmq,1783.316435,
6,2,first,0,hash,0.000000,3832.665076
6,2,first,1,bndmq,3832.665076,
6,4,all,0,hash,0.000000,106846.723979
6,4,all,1,aho_corasick,106846.723979,
6,4,first,0,hash,0.000000,152092.683173
6,4,first,1,aho_corasick,152092.683173,
6,8,all,0,hash,0.000000,42925.863720
6,8,all,1,aho_corasick,42925.863720,
6,8,first,0,hash,0.000000,66354.514893
6,8,first,1,aho_corasick,66354.514893,
6,16,all,0,hash,0.000000,48531.702301
6,16,all,1,aho_corasick,48531.702301,
6,16,first,0,hash,0.000000,141180.186199
6,16,first,1,aho_corasick,141180.186199,
6,32,all,0,hash,0.000000,89243.667816
6,32,all,1,aho_corasick,89243.667816,
6,32,first,0,hash,0.000000,384502.337949
6,32,first,1,aho_corasick,384502.337949,
6,64,all,0,hash,0.000000,123073.493250
6,64,all,1,aho_corasick,123073.493250,
6,64,first,0,hash,0.000000,548198.109131
6,64,first,1,aho_corasick,548198.109131,
6,128,all,0,hash,0.000000,116240.897940
6,128,all,1,aho_corasick,116240.897940,
6,128,first,0,hash,0.000000,1763727.232436
6,128,first,1,aho_corasick,1763727.232436,
6,256,all,0,hash,0.000000,178148.572627
6,256,all,1,aho_corasick,178148.572627,
6,256,first,0,hash,0.000000,4977060.528083
6,256,first,1,aho_corasick,4977060.528083,
6,1000,all,0,hash,0.000000,149035.976904
6,1000,all,1,aho_corasick,149035.976904,
6,1000,first,0,hash,0.000000,19890068.672243
6,1000,first,1,aho_corasick,19890068.672243,
8,1,all,0,hash,0.000000,296.459984
8,1,all,1,bndmq,296.459984,
8,1,first,0,hash,0.000000,454.761017
8,1,first,1,bndmq,454.761017,80368.917440
8,1,first,2,aho_corasick,80368.917440,
8,2,all,0,hash,0.000000,775.691789
8,2,all,1,bndmq,775.691789,
8,2,first,0,hash,0.000000,1540.986952
8,2,first,1,bndmq,1540.986952,
8,4,all,0,hash,0.000000,9677.068377
8,4,all,1,bndmq,9677.068377,
8,4,first,0,hash,0.000000,30252.708066
8,4,first,1,bndmq,30252.708066,
8,8,all,0,hash,0.000000,56866.708444
8,8,all,1,aho_corasick,56866.708444,
8,8,first,0,hash,0.000000,85192.391419
8,8,first,1,aho_corasick,85192.391419,
8,16,all,0,hash,0.000000,76458.464617
8,16,all,1,aho_corasick,76458.464617,
8,16,first,0,hash,0.000000,187401.685894
8,16,first,1,aho_corasick,187401.685894,
8,32,all,0,hash,0.000000,144292.254653
8,32,all,1,aho_corasick,144292.254653,
8,32,first,0,hash,0.000000,293131.785374
8,32,first,1,aho_corasick,293131.785374,
8,64,all,0,hash,0.000000,162372.320730
8,64,all,1,aho_corasick,162372.320730,
8,64,first,0,hash,0.000000,346621.815667
8,64,first,1,aho_corasick,346621.815667,
8,128,all,0,hash,0.000000,447984.930595
8,128,all,1,aho_corasick,447984.930595,
8,128,first,0,hash,0.000000,2487101.323866
8,128,first,1,aho_corasick,2487101.323866,
8,256,all,0,hash,0.000000,1766390.296335
8,256,all,1,aho_corasick,1766390.296335,
8,256,first,0,hash,0.000000,25657270.520671
8,256,first,1,aho_corasick,25657270.520671,
8,1000,all,0,hash,0.000000,
8,1000,first,0,hash,0.000000,
8,10000,all,0,hash,0.000000,
8,10000,first,0,hash,0.000000,
10,1,all,0,hash,0.000000,307.698379
10,1,all,1,bndmq,307.698379,
10,1,first,0,hash,0.000000,359.813967
10,1,first,1,bndmq,359.813967,691432.535168
10,1,first,2,aho_corasick,691432.535168,
10,2,all,0,hash,0.000000,848.544028
10,2,all,1,bndmq,848.544028,
10,2,first,0,hash,0.000000,1273.542758
10,2,first,1,bndmq,1273.542758,
10,4,all,0,hash,0.000000,3275.610353
10,4,all,1,bndmq,3275.610353,
10,4,first,0,hash,0.000000,4952.353278
10,4,first,1,bndmq,4952.353278,
10,8,all,0,hash,0.000000,76187.897387
10,8,all,1,aho_corasick,76187.897387,
10,8,first,0,hash,0.000000,136961.132694
10,8,first,1,aho_corasick,136961.132694,
10,16,all,0,hash,0.000000,87777.199643
10,16,all,1,aho_corasick,87777.199643,
10,16,first,0,hash,0.000000,154135.612329
10,16,first,1,aho_corasick,154135.612329,
10,32,all,0,hash,0.000000,180340.409917
10,32,all,1,aho_corasick,180340.409917,
10,32,first,0,hash,0.000000,290895.551745
10,32,first,1,aho_corasick,290895.551745,
10,64,all,0,hash,0.000000,482082.271637
10,64,all,1,aho_corasick,482082.271637,
10,64,first,0,hash,0.000000,617058.625053
10,64,first,1,aho_corasick,617058.625053,
10,128,all,0,hash,0.000000,854652.617864
10,128,all,1,aho_corasick,854652.617864,
10,128,first,0,hash,0.000000,1000064.998266
