k,patterns,mode,algorithm,runs,median_build_ms_per_matcher,median_search_ns_per_base,median_reference_ns_per_base,mean_reference_ns_per_base,stddev_reference_ns_per_base,min_reference_ns_per_base,max_reference_ns_per_base,slower_than_best_pct
4,1,all,aho_corasick,5,0.008595,0.696389612,0.696471978,0.702911641,0.025591626,0.678430335,0.746362997,0.0000
4,1,all,bndmq,5,0.000319,0.807797852,0.807800072,0.805218170,0.010496820,0.792420103,0.817980754,15.9846
4,1,all,hash,5,0.000197,1.969320427,1.969322881,1.972650835,0.011853433,1.960346051,1.987584789,182.7569
4,1,first,aho_corasick,5,0.007559,0.332289557,0.332382371,0.335425256,0.016158957,0.324038191,0.363286198,0.0000
4,1,first,bndmq,5,0.000258,0.454709717,0.454712900,0.455759148,0.001876089,0.454477618,0.458929841,36.8042
4,1,first,hash,5,0.000391,1.191793280,1.191796255,1.205442966,0.027743155,1.189493728,1.254281698,258.5618
4,2,all,aho_corasick,5,0.009171,4.091457543,4.091547180,4.093107063,0.016228781,4.074600987,4.111022253,168.2111
4,2,all,bndmq,5,0.000653,1.525488068,1.525495254,1.547310952,0.052736192,1.518030975,1.641004512,0.0000
4,2,all,hash,5,0.000453,2.360324958,2.360335042,2.371601557,0.031264125,2.340209698,2.405259601,54.7258
4,2,first,aho_corasick,5,0.009012,1.977880161,1.977972135,2.033988525,0.141418690,1.954824965,2.285581189,171.6798
4,2,first,bndmq,5,0.000611,0.728048890,0.728052704,0.730390735,0.013198744,0.715556023,0.751248202,0.0000
4,2,first,hash,5,0.000357,1.170064822,1.170068239,1.173010584,0.012600130,1.159630701,1.189032583,60.7120
4,3,all,aho_corasick,5,0.009742,3.275519074,3.275619991,3.286010510,0.027074545,3.264403335,3.332281108,44.0543
4,3,all,bndmq,5,0.000898,2.273869775,2.273879285,2.292150204,0.103411610,2.207722232,2.468067935,0.0000
4,3,all,hash,5,0.000455,2.656568299,2.656573617,2.660750566,0.036041244,2.623511332,2.717499240,16.8300
4,3,first,aho_corasick,5,0.010182,1.365433974,1.365538727,1.367380715,0.009932167,1.357119238,1.379568877,57.0104
4,3,first,bndmq,5,0.001215,0.869701598,0.869712144,0.882884063,0.026158934,0.865207671,0.926702899,0.0000
4,3,first,hash,5,0.000335,1.071127896,1.071136228,1.079341876,0.017715436,1.067529795,1.109806184,23.1599
4,4,all,aho_corasick,5,0.010847,1.452443247,1.452553266,1.464036476,0.028611882,1.449200843,1.515142693,0.0000
4,4,all,bndmq,5,0.000910,2.944171056,2.944181133,2.959303043,0.026736042,2.940145514,3.003763575,102.6901
4,4,all,hash,5,0.000344,2.862678167,2.862682177,2.876240261,0.024657962,2.862131707,2.919244045,97.0793
4,4,first,aho_corasick,5,0.010436,0.567009923,0.567117233,0.569488127,0.005548658,0.565050574,0.578646968,0.0000
4,4,first,bndmq,5,0.000947,0.958202350,0.958220954,0.967863282,0.020829457,0.956528268,1.004876988,68.9635
4,4,first,hash,5,0.000462,1.015397949,1.015403964,1.019705174,0.017997065,1.005361581,1.048964554,79.0466
