k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
4,1,bndmq,first,0,1,64,10418,150,100000000,100012800,104576,82651302,82840555,2957.078,1634.000,0.826407240,82654259.078,0.826436807,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,1,1,64,10418,150,100000000,100012800,30967,89940161,90004030,997.953,483.859,0.899286501,89941158.953,0.899296480,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,2,1,64,10418,150,100000000,100012800,45936,81017126,81084632,1054.781,717.750,0.810067571,81018180.781,0.810078118,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,3,1,64,10418,150,100000000,100012800,27181,78627969,78677952,780.984,424.703,0.786179059,78628749.984,0.786186868,8819754129215092097,478909,478909,8819754129215092097
4,1,bndmq,first,4,1,64,10418,150,100000000,100012800,46176,75729567,75805318,1183.609,721.500,0.757198749,75730750.609,0.757210583,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,0,1,64,10418,150,100000000,100012800,745371,27836546,28603147,11978.141,11646.422,0.278329834,27848524.141,0.278449600,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,1,1,64,10418,150,100000000,100012800,618163,28310020,28947369,9958.578,9658.797,0.283063968,28319978.578,0.283163541,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,2,1,64,10418,150,100000000,100012800,722668,28908589,29653248,11635.297,11291.688,0.289048892,28920224.297,0.289165230,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,3,1,64,10418,150,100000000,100012800,615398,28537801,29181171,10052.656,9615.594,0.285341486,28547853.656,0.285442000,8819754129215092097,478909,478909,8819754129215092097
4,1,aho_corasick,first,4,1,64,10418,150,100000000,100012800,639724,28987991,29652992,10390.641,9995.688,0.289842810,28998381.641,0.289946703,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,0,1,64,10418,150,100000000,100012800,19596,132070963,132095788,387.891,306.188,1.320540601,132071350.891,1.320544479,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,1,1,64,10418,150,100000000,100012800,18224,128968642,128991755,361.141,284.750,1.289521361,128969003.141,1.289524972,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,2,1,64,10418,150,100000000,100012800,10629,128023941,128039880,249.047,166.078,1.280075560,128024190.047,1.280078050,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,3,1,64,10418,150,100000000,100012800,8956,125941606,125954781,205.859,139.938,1.259254875,125941811.859,1.259256934,8819754129215092097,478909,478909,8819754129215092097
4,1,hash,first,4,1,64,10418,150,100000000,100012800,9769,128881641,128896800,236.859,152.641,1.288651463,128881877.859,1.288653831,8819754129215092097,478909,478909,8819754129215092097
4,2,aho_corasick,first,0,1,64,10418,150,100000000,100012800,693944,222882127,223594185,11125.906,10842.875,2.228536017,222893252.906,2.228647262,7382909141788156224,561887,561887,7382909141788156224
