k,patterns,mode,best_algorithm,median_reference_ns_per_base,second_algorithm,margin_pct
4,1,all,aho_corasick,0.674635744,bndmq,88.1861
4,1,first,aho_corasick,0.285442000,bndmq,183.7978
4,2,all,bndmq,2.555934973,hash,4.0839
4,2,first,bndmq,1.180223273,hash,2.0443
4,4,all,aho_corasick,2.249237692,hash,42.3889
4,4,first,aho_corasick,0.758811222,hash,38.9855
4,8,all,aho_corasick,2.345212350,hash,87.5897
4,8,first,aho_corasick,0.539422624,hash,56.7588
4,16,all,aho_corasick,2.670507534,hash,83.2348
4,16,first,aho_corasick,0.385393298,hash,40.7539
4,32,all,aho_corasick,3.391699811,hash,103.0591
4,32,first,aho_corasick,0.317929602,hash,44.0437
4,64,all,aho_corasick,5.059938295,hash,113.1996
4,64,first,aho_corasick,0.252714506,hash,25.9045
4,128,all,aho_corasick,8.215386589,hash,33.7587
4,128,first,hash,0.185176555,aho_corasick,12.7818
4,256,all,aho_corasick,7.508887932,hash,4.0203
4,256,first,aho_corasick,0.098632683,hash,1.5347
6,1,all,aho_corasick,0.595726983,bndmq,48.8525
6,1,first,aho_corasick,0.334003351,bndmq,93.7854
6,2,all,bndmq,1.685700511,hash,25.5784
6,2,first,bndmq,1.265187384,hash,22.3741
6,4,all,aho_corasick,2.107845883,hash,11.6244
6,4,first,aho_corasick,1.425221879,hash,13.2863
6,8,all,aho_corasick,2.149380820,hash,26.2709
6,8,first,aho_corasick,1.410118747,hash,28.8485
6,16,all,aho_corasick,2.166244614,hash,25.4323
6,16,first,aho_corasick,1.215168508,hash,39.5498
6,32,all,aho_corasick,2.171512400,hash,34.6181
6,32,first,aho_corasick,1.079613236,hash,29.5191
6,64,all,aho_corasick,2.194288216,hash,38.3680
6,64,first,aho_corasick,0.828641203,hash,23.2296
6,128,all,aho_corasick,2.222152741,hash,56.6062
6,128,first,aho_corasick,0.584868885,hash,19.4929
6,256,all,aho_corasick,3.056824596,hash,47.9782
6,256,first,aho_corasick,0.498833482,hash,6.5421
6,1000,all,aho_corasick,5.977491815,hash,82.8133
6,1000,first,hash,0.387652245,aho_corasick,2.2036
8,1,all,bndmq,0.580909014,aho_corasick,1.7712
8,1,first,aho_corasick,0.324702757,bndmq,41.7174
8,2,all,bndmq,1.074649214,hash,91.3103
8,2,first,bndmq,0.821385386,hash,80.3128
8,4,all,bndmq,2.077716629,aho_corasick,1.8048
8,4,first,aho_corasick,1.485202481,hash,5.5619
8,8,all,aho_corasick,2.113093096,hash,27.5962
8,8,first,aho_corasick,1.492985119,hash,22.6260
8,16,all,aho_corasick,2.112788731,hash,26.7090
8,16,first,aho_corasick,1.491663626,hash,19.8462
8,32,all,aho_corasick,2.099972859,hash,22.8312
8,32,first,aho_corasick,1.484499780,hash,20.1240
8,64,all,aho_corasick,2.099007225,hash,33.9706
8,64,first,aho_corasick,1.459807964,hash,26.8637
8,128,all,aho_corasick,2.235229945,hash,16.7590
