k,patterns,algorithm,mode,status,wall_ms,detail
4,1,bndmq,first,ok,673,""
4,1,aho_corasick,first,ok,512,""
4,1,hash,first,ok,922,""
4,2,aho_corasick,first,ok,1431,""
4,2,hash,first,ok,850,""
4,2,bndmq,first,ok,556,""
4,4,hash,first,ok,760,""
4,4,bndmq,first,ok,762,""
4,4,aho_corasick,first,ok,474,""
4,8,bndmq,first,ok,429,""
4,8,aho_corasick,first,ok,466,""
4,8,hash,first,ok,496,""
4,16,bndmq,first,ok,433,""
4,16,hash,first,ok,385,""
4,16,aho_corasick,first,ok,351,""
4,32,hash,first,ok,290,""
4,32,aho_corasick,first,ok,349,""
4,32,bndmq,first,ok,412,""
4,64,hash,first,ok,289,""
4,64,aho_corasick,first,ok,349,""
4,64,bndmq,first,ok,372,""
4,128,aho_corasick,first,ok,288,""
4,128,bndmq,first,ok,343,""
4,128,hash,first,ok,199,""
4,256,bndmq,first,ok,326,""
4,256,hash,first,ok,352,""
4,256,aho_corasick,first,ok,317,""
4,1000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,hash,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,aho_corasick,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1000000,bndmq,first,invalid,0,"only 256 distinct DNA patterns exist"
4,1,bndmq,all,ok,614,""
4,1,aho_corasick,all,ok,524,""
4,1,hash,all,ok,1458,""
4,2,bndmq,all,ok,1138,""
4,2,aho_corasick,all,ok,2947,""
4,2,hash,all,ok,1689,""
4,4,aho_corasick,all,ok,1093,""
4,4,hash,all,ok,2062,""
4,4,bndmq,all,ok,2123,""
4,8,hash,all,ok,1167,""
4,8,aho_corasick,all,ok,611,""
4,8,bndmq,all,ok,2090,""
4,16,aho_corasick,all,ok,377,""
4,16,bndmq,all,ok,2050,""
4,16,hash,all,ok,700,""
4,32,bndmq,all,ok,2028,""
4,32,hash,all,ok,530,""
4,32,aho_corasick,all,ok,490,""
4,64,aho_corasick,all,ok,523,""
4,64,hash,all,ok,411,""
4,64,bndmq,all,ok,2017,""
4,128,aho_corasick,all,ok,384,""
4,128,hash,all,ok,382,""
4,128,bndmq,all,ok,2026,""
4,256,hash,all,ok,377,""
4,256,bndmq,all,ok,2020,""
4,256,aho_corasick,all,ok,322,""
4,1000,hash,all,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,aho_corasick,all,invalid,0,"only 256 distinct DNA patterns exist"
4,1000,bndmq,all,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,aho_corasick,all,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,hash,all,invalid,0,"only 256 distinct DNA patterns exist"
4,10000,bndmq,all,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,bndmq,all,invalid,0,"only 256 distinct DNA patterns exist"
4,100000,aho_corasick,all,invalid,0,"only 256 distinct DNA patterns exist"
