k,patterns,mode,transition,from_algorithm,to_algorithm,crossover_bases,bootstrap_ci_low_bases,bootstrap_ci_high_bases,bootstrap_transition_support_pct
4,1,all,0,hash,bndmq,466.161614,368.395675,1395.294354,100.00
4,1,all,1,bndmq,aho_corasick,15775.179595,14055.607677,21343.390875,100.00
4,1,first,0,hash,bndmq,925.696070,701.759670,6672.833932,100.00
4,1,first,1,bndmq,aho_corasick,23524.129516,14284.449926,27294.392011,100.00
4,2,all,0,hash,bndmq,4770.677159,1146.463486,32536.003538,100.00
4,2,first,0,hash,bndmq,8709.067373,6908.465261,12701.129941,100.00
4,4,all,0,hash,aho_corasick,16636.509073,15270.175641,24921.191826,100.00
4,4,first,0,hash,aho_corasick,69175.886960,52504.246439,107306.045110,100.00
4,8,all,0,hash,aho_corasick,9393.476908,8663.125368,11765.850929,100.00
4,8,first,0,hash,aho_corasick,73369.438086,57534.152126,100135.895436,100.00
4,16,all,0,hash,aho_corasick,14604.217417,11991.097601,15273.033216,100.00
4,16,first,0,hash,aho_corasick,158583.687733,147422.183075,226762.752429,100.00
4,32,all,0,hash,aho_corasick,11071.659310,10281.150617,13452.730363,100.00
4,32,first,0,hash,aho_corasick,318047.302520,282444.857870,400731.093671,100.00
4,64,all,0,hash,aho_corasick,10216.022737,9696.575285,13627.622365,100.00
4,64,first,0,hash,aho_corasick,758857.384267,567832.967833,939646.972727,100.00
4,128,all,0,hash,aho_corasick,33960.202080,28864.813689,41255.785684,100.00
4,256,all,0,hash,aho_corasick,419684.976584,201316.497594,2418722.561681,99.60
6,1,all,0,hash,bndmq,320.480497,261.144669,1478.986867,100.00
6,1,all,1,bndmq,aho_corasick,42000.115126,35292.894144,53305.860126,100.00
6,1,first,0,hash,bndmq,1234.805150,594.525904,2634.642106,100.00
6,1,first,1,bndmq,aho_corasick,29574.997097,24136.526678,33404.287779,100.00
6,2,all,0,hash,bndmq,1783.316435,1327.495575,2762.513529,100.00
6,2,first,0,hash,bndmq,3832.665076,2879.533764,5069.486548,100.00
6,4,all,0,hash,aho_corasick,106846.723979,62363.305265,185316.561997,100.00
6,4,first,0,hash,aho_corasick,152092.683173,106017.602184,453700.110928,100.00
6,8,all,0,hash,aho_corasick,42925.863720,37749.059451,51268.286823,100.00
6,8,first,0,hash,aho_corasick,66354.514893,55088.149433,87693.359185,100.00
6,16,all,0,hash,aho_corasick,48531.702301,44573.649055,61073.446191,100.00
6,16,first,0,hash,aho_corasick,141180.186199,105737.625325,181783.722919,100.00
6,32,all,0,hash,aho_corasick,89243.667816,78893.939592,108913.821396,100.00
6,32,first,0,hash,aho_corasick,384502.337949,252334.693590,616857.694738,100.00
6,64,all,0,hash,aho_corasick,123073.493250,108249.053937,147708.344123,100.00
6,64,first,0,hash,aho_corasick,548198.109131,447479.152588,617525.926585,100.00
6,128,all,0,hash,aho_corasick,116240.897940,103957.827991,134651.436181,100.00
6,128,first,0,hash,aho_corasick,1763727.232436,1249745.379532,3002560.991212,100.00
6,256,all,0,hash,aho_corasick,178148.572627,161346.334929,334241.774004,100.00
6,256,first,0,hash,aho_corasick,4977060.528083,3552393.644640,7751573.846981,94.80
6,1000,all,0,hash,aho_corasick,149035.976904,140763.480677,200169.084882,100.00
6,1000,first,0,hash,aho_corasick,19890068.672243,11277593.897986,43268672.197209,100.00
8,1,all,0,hash,bndmq,296.459984,227.054793,735.646637,100.00
8,1,first,0,hash,bndmq,454.761017,336.121761,893.106517,100.00
8,1,first,1,bndmq,aho_corasick,80368.917440,71992.639807,105781.797874,100.00
8,2,all,0,hash,bndmq,775.691789,682.433982,1363.367728,100.00
8,2,first,0,hash,bndmq,1540.986952,1325.133317,2148.341254,100.00
8,4,all,0,hash,bndmq,9677.068377,8427.896744,15476.019947,100.00
8,4,first,0,hash,bndmq,30252.708066,17794.390418,210092.115240,96.90
8,8,all,0,hash,aho_corasick,56866.708444,44140.593071,72896.533847,100.00
8,8,first,0,hash,aho_corasick,85192.391419,77644.638267,119330.585673,100.00
8,16,all,0,hash,aho_corasick,76458.464617,61314.308648,117996.696941,100.00
8,16,first,0,hash,aho_corasick,187401.685894,137509.451790,282816.978733,100.00
8,32,all,0,hash,aho_corasick,144292.254653,134363.985060,172458.474500,100.00
8,32,first,0,hash,aho_corasick,293131.785374,233269.086405,456681.167182,100.00
8,64,all,0,hash,aho_corasick,162372.320730,127551.186710,235736.575234,100.00
8,64,first,0,hash,aho_corasick,346621.815667,262422.216290,438667.580593,100.00
8,128,all,0,hash,aho_corasick,447984.930595,373442.346420,649327.363994,100.00
8,128,first,0,hash,aho_corasick,2487101.323866,578284.614450,6762067.809958,100.00
8,256,all,0,hash,aho_corasick,1766390.296335,1504818.118901,2822855.766082,100.00
8,256,first,0,hash,aho_corasick,25657270.520671,4734073.052289,6526187003.727893,77.70
10,1,all,0,hash,bndmq,307.698379,206.295952,592.392089,100.00
10,1,first,0,hash,bndmq,359.813967,288.513080,995.107457,100.00
10,1,first,1,bndmq,aho_corasick,691432.535168,310831.772493,2073782.876936,100.00
10,2,all,0,hash,bndmq,848.544028,752.285175,1462.990606,100.00
10,2,first,0,hash,bndmq,1273.542758,947.059536,2157.080093,100.00
10,4,all,0,hash,bndmq,3275.610353,2832.310741,4086.259622,100.00
10,4,first,0,hash,bndmq,4952.353278,4187.042092,8096.544116,100.00
10,8,all,0,hash,aho_corasick,76187.897387,62922.806886,90868.696795,100.00
10,8,first,0,hash,aho_corasick,136961.132694,103033.488637,194558.852819,100.00
10,16,all,0,hash,aho_corasick,87777.199643,78164.185408,105438.594403,100.00
10,16,first,0,hash,aho_corasick,154135.612329,134453.693536,258439.775352,100.00
10,32,all,0,hash,aho_corasick,180340.409917,157338.793618,260909.322834,100.00
10,32,first,0,hash,aho_corasick,290895.551745,233443.602638,395671.662012,100.00
10,64,all,0,hash,aho_corasick,482082.271637,364102.919892,707415.749683,100.00
10,64,first,0,hash,aho_corasick,617058.625053,529338.062235,932598.598453,100.00
10,128,all,0,hash,aho_corasick,854652.617864,351806.812137,1756131.052408,100.00
10,128,first,0,hash,aho_corasick,1000064.998266,318182.552559,1540638.083184,100.00
