k,patterns,mode,algorithm,runs,median_fixed_ns_per_matcher,fixed_p2_5_ns_per_matcher,fixed_p97_5_ns_per_matcher,median_search_ns_per_base,search_p2_5_ns_per_base,search_p97_5_ns_per_base
4,1,all,aho_corasick,5,9354.016000000,9119.609300000,11832.582500000,0.674534280,0.666890771,0.708802025
4,1,all,bndmq,5,684.250000000,653.501200000,1542.900100000,1.224116993,1.193687593,1.225907774
4,1,all,hash,5,209.141000000,184.357500000,300.917400000,2.243310736,2.206409325,2.267543290
4,1,first,aho_corasick,5,9470.469000000,9092.745400000,10571.076900000,0.274368311,0.267601365,0.280181814
4,1,first,bndmq,5,717.906000000,665.595600000,3627.267400000,0.646435766,0.634916458,0.656997403
4,1,first,hash,5,189.422000000,186.938800000,291.320500000,1.217340210,1.193550504,1.225910806
4,2,all,aho_corasick,5,12624.016000000,10424.856500000,23509.982700000,5.013287169,4.931425488,5.058048142
4,2,all,bndmq,5,1171.250000000,1133.520400000,3641.309300000,2.392114969,2.334336074,2.474710863
4,2,all,hash,5,310.906000000,263.099700000,991.759700000,2.572454986,2.480358036,2.631549735
4,2,first,aho_corasick,5,10741.297000000,10365.817400000,12818.646900000,2.126145913,2.090039591,2.142766774
4,2,first,bndmq,5,1166.094000000,1155.359400000,1568.927900000,1.035786839,1.008098247,1.058572089
4,2,first,hash,5,271.578000000,250.843600000,454.990600000,1.138497722,1.111680647,1.149572413
4,4,all,aho_corasick,5,13956.812000000,13122.138000000,20162.387600000,2.204033254,2.181961636,2.254722764
4,4,all,bndmq,5,2500.594000000,2224.698800000,3421.063700000,4.494717446,4.468375023,4.667197211
4,4,all,hash,5,336.891000000,318.349900000,466.399800000,3.022709873,3.015524861,3.070902652
4,4,first,aho_corasick,5,13046.219000000,12931.348300000,16458.609300000,0.822039079,0.758257455,0.850727989
4,4,first,bndmq,5,2235.094000000,2202.016100000,4083.554600000,1.403736072,1.381238538,1.422100736
4,4,first,hash,5,377.406000000,316.110800000,571.819100000,1.005178227,0.984242444,1.027266973
4,8,all,aho_corasick,5,18018.594000000,17104.396600000,22626.559400000,2.393708921,2.354210031,2.419513801
4,8,all,bndmq,5,4292.688000000,4018.393500000,9148.062500000,9.038459949,8.944598234,9.203026199
4,8,all,hash,5,590.469000000,527.506000000,1039.393300000,4.249052280,4.104877489,4.321135102
4,8,first,aho_corasick,5,20647.594000000,18472.918800000,27570.372300000,0.580602601,0.534391800,0.598115856
4,8,first,bndmq,5,4266.375000000,4117.862300000,12907.662500000,1.617785681,1.590538026,1.632779852
4,8,first,hash,5,696.281000000,536.187300000,799.765800000,0.852532079,0.847019741,0.877116965
4,16,all,aho_corasick,5,30294.625000000,25251.506300000,31640.712500000,2.660337429,2.641320152,2.671922926
4,16,all,bndmq,5,7553.438000000,7017.450000000,9733.481700000,17.908268015,17.828437137,18.028381675
4,16,all,hash,5,1305.562000000,886.587000000,1405.674600000,4.645316300,4.632685386,4.848562572
4,16,first,aho_corasick,5,25096.250000000,24350.212500000,34338.518700000,0.372627456,0.371743973,0.398612409
4,16,first,bndmq,5,7227.875000000,7034.750400000,10958.194200000,1.747462281,1.681967183,1.778244703
4,16,first,hash,5,1169.062000000,835.062500000,1554.162500000,0.523507968,0.509288207,0.539365324
4,32,all,aho_corasick,5,38052.375000000,35856.250000000,44593.550000000,3.337809258,3.317587531,3.408106188
4,32,all,hash,5,2151.500000000,1379.162500000,2357.987500000,6.580401357,6.517051227,6.670296696
4,32,first,aho_corasick,5,36518.125000000,34500.287500000,38688.375000000,0.305541396,0.298482992,0.307673663
4,32,first,bndmq,5,11142.125000000,10699.100000000,22219.562500000,1.776309110,1.724191553,1.816620472
4,32,first,hash,5,2068.875000000,1340.262500000,2345.975000000,0.413856259,0.392172591,0.416552976
4,64,all,aho_corasick,5,58661.750000000,56051.600000000,77357.850000000,4.880656565,4.838404645,4.943591019
4,64,all,hash,5,2289.250000000,2058.250000000,3723.725000000,10.398704190,10.342144627,10.448381152
4,64,first,aho_corasick,5,65459.750000000,57020.425000000,73970.375000000,0.246751976,0.244338851,0.250195827
4,64,first,bndmq,5,34384.000000000,33870.350000000,43757.950000000,1.790506806,1.768268759,1.860904730
4,64,first,hash,5,3223.250000000,2017.625000000,3590.425000000,0.328765410,0.314759025,0.345820682
4,128,all,aho_corasick,5,93519.500000000,83197.600000000,109886.500000000,7.776427447,7.668093386,7.840599208
4,128,all,hash,5,4107.500000000,3974.550000000,7575.750000000,10.409273971,10.367722457,10.585248036
4,128,first,aho_corasick,5,103648.500000000,89441.800000000,144206.700000000,0.223753992,0.211914503,0.240050640
4,128,first,bndmq,5,70717.000000000,66289.800000000,87697.000000000,1.771666977,1.754213522,1.819434247
4,128,first,hash,5,3221.000000000,2928.050000000,6139.350000000,0.177338245,0.171107916,0.183826507
4,256,all,aho_corasick,5,142936.000000000,137537.300000000,219418.700000000,7.145091370,7.070378302,7.391076132
4,256,all,hash,5,6954.000000000,6632.000000000,13996.800000000,7.469101062,7.300548441,7.802587035
4,256,first,aho_corasick,5,144049.000000000,135462.300000000,170849.800000000,0.099890960,0.099804260,0.105080378
4,256,first,bndmq,5,33723.000000000,33181.100000000,160749.500000000,1.759237752,1.737952585,1.790481489
4,256,first,hash,5,7043.000000000,6712.100000000,14020.200000000,0.093375213,0.091962691,0.101870010
6,1,all,aho_corasick,5,10322.859000000,9533.762300000,12744.295200000,0.610138722,0.601582471,0.622208104
6,1,all,bndmq,5,698.969000000,668.781700000,2116.640300000,0.839278332,0.832218271,0.844518749
6,1,all,hash,5,271.750000000,214.705000000,350.665600000,2.172336051,2.105064359,2.200926929
6,1,first,aho_corasick,5,10470.766000000,9563.712500000,11469.507600000,0.326218584,0.319792881,0.331903057
6,1,first,bndmq,5,1125.375000000,699.283900000,2065.170000000,0.642208167,0.627803775,0.677647886
6,1,first,hash,5,237.938000000,198.797200000,325.717100000,1.360894026,1.342979524,1.376550965
6,2,all,aho_corasick,5,11586.922000000,11290.706400000,12138.872200000,5.240613541,5.205907137,5.345227486
6,2,all,bndmq,5,1271.891000000,1200.703200000,1683.651900000,1.631233632,1.587025159,1.703467603
6,2,all,hash,5,380.703000000,288.004900000,579.188900000,2.130969956,2.057243535,2.140222418
6,2,first,aho_corasick,5,14039.000000000,11446.342400000,21182.856100000,3.808363539,3.627529226,3.849939380
6,2,first,bndmq,5,1270.016000000,1212.663700000,1565.140900000,1.210149501,1.150556484,1.219883712
6,2,first,hash,5,313.547000000,287.860900000,432.755000000,1.459706658,1.403795233,1.544238018
