k,patterns,mode,region,algorithm,min_bases_inclusive,max_bases_exclusive
4,1,all,0,hash,0.000000,2.713950
4,1,all,1,bndmq,2.713950,75177.788542
4,1,all,2,aho_corasick,75177.788542,
4,1,first,0,hash,0.000000,26.698170
4,1,first,1,bndmq,26.698170,60463.509049
4,1,first,2,aho_corasick,60463.509049,
4,2,all,0,hash,0.000000,131.059627
4,2,all,1,bndmq,131.059627,
4,2,first,0,hash,0.000000,247.360909
4,2,first,1,bndmq,247.360909,
4,4,all,0,hash,0.000000,7566.527185
4,4,all,1,aho_corasick,7566.527185,
4,4,first,0,hash,0.000000,27100.182110
4,4,first,1,aho_corasick,27100.182110,
4,8,all,0,hash,0.000000,8698.568433
4,8,all,1,aho_corasick,8698.568433,
4,8,first,0,hash,0.000000,52688.026969
4,8,first,1,aho_corasick,52688.026969,
4,16,all,0,hash,0.000000,10690.812711
4,16,all,1,aho_corasick,10690.812711,
4,16,first,0,hash,0.000000,140330.654693
4,16,first,1,aho_corasick,140330.654693,
4,32,all,0,hash,0.000000,9771.837670
4,32,all,1,aho_corasick,9771.837670,
4,32,first,0,hash,0.000000,323137.843455
4,32,first,1,aho_corasick,323137.843455,
4,64,all,0,hash,0.000000,9096.342050
4,64,all,1,aho_corasick,9096.342050,
4,64,first,0,hash,0.000000,2284329.693578
4,64,first,1,aho_corasick,2284329.693578,
4,128,all,0,hash,0.000000,24920.765292
4,128,all,1,aho_corasick,24920.765292,
4,128,first,0,hash,0.000000,
4,256,all,0,hash,0.000000,170236.330193
4,256,all,1,aho_corasick,170236.330193,
4,256,first,0,hash,0.000000,26202719.955931
4,256,first,1,aho_corasick,26202719.955931,
6,1,all,0,hash,0.000000,2.681482
6,1,all,1,bndmq,2.681482,
6,1,first,0,hash,0.000000,24.592546
6,1,first,1,bndmq,24.592546,
6,2,all,0,hash,0.000000,20.694005
6,2,all,1,bndmq,20.694005,
6,2,first,0,hash,0.000000,157.693190
6,2,first,1,bndmq,157.693190,
6,4,all,0,hash,0.000000,1230.585461
6,4,all,1,bndmq,1230.585461,19096.338959
6,4,all,2,aho_corasick,19096.338959,
6,4,first,0,hash,0.000000,2584.584719
6,4,first,1,bndmq,2584.584719,27487.045963
6,4,first,2,aho_corasick,27487.045963,
6,8,all,0,hash,0.000000,19426.013375
6,8,all,1,aho_corasick,19426.013375,
6,8,first,0,hash,0.000000,32053.124495
6,8,first,1,aho_corasick,32053.124495,
6,16,all,0,hash,0.000000,22692.942058
6,16,all,1,aho_corasick,22692.942058,
6,16,first,0,hash,0.000000,41493.226042
6,16,first,1,aho_corasick,41493.226042,
6,32,all,0,hash,0.000000,30363.845671
6,32,all,1,aho_corasick,30363.845671,
6,32,first,0,hash,0.000000,73314.396345
6,32,first,1,aho_corasick,73314.396345,
6,64,all,0,hash,0.000000,46255.225096
6,64,all,1,aho_corasick,46255.225096,
6,64,first,0,hash,0.000000,164950.300616
6,64,first,1,aho_corasick,164950.300616,
6,128,all,0,hash,0.000000,75609.683346
6,128,all,1,aho_corasick,75609.683346,
6,128,first,0,hash,0.000000,473388.940212
6,128,first,1,aho_corasick,473388.940212,
6,256,all,0,hash,0.000000,91252.337890
6,256,all,1,aho_corasick,91252.337890,
6,256,first,0,hash,0.000000,4147947.754814
6,256,first,1,aho_corasick,4147947.754814,
6,1000,all,0,hash,0.000000,139911.624411
6,1000,all,1,aho_corasick,139911.624411,
6,1000,first,0,hash,0.000000,34883083.471428
6,1000,first,1,aho_corasick,34883083.471428,
8,1,all,0,hash,0.000000,1.441861
8,1,all,1,bndmq,1.441861,
8,1,first,0,hash,0.000000,6.930642
8,1,first,1,bndmq,6.930642,
8,2,all,0,hash,0.000000,54.928257
8,2,all,1,bndmq,54.928257,
8,2,first,0,hash,0.000000,83.422407
8,2,first,1,bndmq,83.422407,
8,4,all,0,hash,0.000000,294.749429
8,4,all,1,bndmq,294.749429,
8,4,first,0,hash,0.000000,386.842451
8,4,first,1,bndmq,386.842451,
8,8,all,0,hash,0.000000,24167.856222
8,8,all,1,aho_corasick,24167.856222,
8,8,first,0,hash,0.000000,35995.029228
8,8,first,1,aho_corasick,35995.029228,
8,16,all,0,hash,0.000000,32276.366037
8,16,all,1,aho_corasick,32276.366037,
8,16,first,0,hash,0.000000,48273.719526
8,16,first,1,aho_corasick,48273.719526,
8,32,all,0,hash,0.000000,46801.992021
8,32,all,1,aho_corasick,46801.992021,
8,32,first,0,hash,0.000000,70866.010466
8,32,first,1,aho_corasick,70866.010466,
8,64,all,0,hash,0.000000,60129.600307
8,64,all,1,aho_corasick,60129.600307,
8,64,first,0,hash,0.000000,93334.827488
8,64,first,1,aho_corasick,93334.827488,
8,128,all,0,hash,0.000000,162693.677648
8,128,all,1,aho_corasick,162693.677648,
8,128,first,0,hash,0.000000,282532.399999
8,128,first,1,aho_corasick,282532.399999,
8,256,all,0,hash,0.000000,244897.322659
8,256,all,1,aho_corasick,244897.322659,
8,256,first,0,hash,0.000000,486137.105729
8,256,first,1,aho_corasick,486137.105729,
8,1000,all,0,hash,0.000000,2561935.668102
8,1000,all,1,aho_corasick,2561935.668102,
8,1000,first,0,hash,0.000000,
8,10000,all,0,hash,0.000000,6885471.040721
8,10000,all,1,aho_corasick,6885471.040721,
8,10000,first,0,hash,0.000000,
10,1,all,0,hash,0.000000,3.910709
10,1,all,1,bndmq,3.910709,
10,1,first,0,bndmq,0.000000,
10,2,all,0,hash,0.000000,21.428643
10,2,all,1,bndmq,21.428643,
10,2,first,0,hash,0.000000,80.267968
10,2,first,1,bndmq,80.267968,
10,4,all,0,hash,0.000000,265.655397
10,4,all,1,bndmq,265.655397,
10,4,first,0,hash,0.000000,415.188177
10,4,first,1,bndmq,415.188177,
10,8,all,0,hash,0.000000,3096.211202
10,8,all,1,bndmq,3096.211202,36039.611098
10,8,all,2,aho_corasick,36039.611098,
10,8,first,0,hash,0.000000,6356.531373
10,8,first,1,bndmq,6356.531373,48919.854591
10,8,first,2,aho_corasick,48919.854591,
10,16,all,0,hash,0.000000,41940.210556
10,16,all,1,aho_corasick,41940.210556,
10,16,first,0,hash,0.000000,63235.465331
10,16,first,1,aho_corasick,63235.465331,
10,32,all,0,hash,0.000000,53916.622302
10,32,all,1,aho_corasick,53916.622302,
10,32,first,0,hash,0.000000,78147.960138
10,32,first,1,aho_corasick,78147.960138,
10,64,all,0,hash,0.000000,127320.695451
10,64,all,1,aho_corasick,127320.695451,
10,64,first,0,hash,0.000000,194185.594004
10,64,first,1,aho_corasick,194185.594004,
10,128,all,0,hash,0.000000,187007.990742
10,128,all,1,aho_corasick,187007.990742,
10,128,first,0,hash,0.000000,285842.106797
10,128,first,1,aho_corasick,285842.106797,
10,256,all,0,hash,0.000000,369229.085351
10,256,all,1,aho_corasick,369229.085351,
10,256,first,0,hash,0.000000,561864.654183
10,256,first,1,aho_corasick,561864.654183,
10,1000,all,0,hash,0.000000,6834380.436593
10,1000,all,1,aho_corasick,6834380.436593,
10,1000,first,0,hash,0.000000,18528236.217805
10,1000,first,1,aho_corasick,18528236.217805,
10,10000,all,0,hash,0.000000,
10,10000,first,0,hash,0.000000,
10,100000,all,0,hash,0.000000,
10,100000,first,0,hash,0.000000,
10,1000000,all,0,hash,0.000000,
10,1000000,first,0,hash,0.000000,
12,1,all,0,bndmq,0.000000,
12,1,first,0,bndmq,0.000000,
12,2,all,0,hash,0.000000,56.870863
12,2,all,1,bndmq,56.870863,
12,2,first,0,hash,0.000000,55.356304
12,2,first,1,bndmq,55.356304,
12,4,all,0,hash,0.000000,165.348671
12,4,all,1,bndmq,165.348671,
12,4,first,0,hash,0.000000,264.658552
12,4,first,1,bndmq,264.658552,
12,8,all,0,hash,0.000000,967.766208
12,8,all,1,bndmq,967.766208,99027.475820
