k,patterns,algorithm,mode,run,iterations,banks,sequences_per_bank,sequence_length,target_bases_per_cell,bases,build_ns,search_ns,total_ns,fixed_ns_per_matcher,build_ns_per_matcher,search_ns_per_base,reference_total_ns,reference_ns_per_base,validation_checksum,matching_records,matches,timed_checksum
10,3162,hash,all,0,1,1,666668,150,100000000,100000200,38583,754828292,754873292,45000.000,38583.000,7.548267823,754873292.000,7.548717823,1556874763309097264,448729,615497,1556874763309097264
10,3162,hash,all,1,1,1,666668,150,100000000,100000200,47083,807209667,807265167,55500.000,47083.000,8.072080526,807265167.000,8.072635525,1556874763309097264,448729,615497,1556874763309097264
10,3162,hash,all,2,1,1,666668,150,100000000,100000200,29667,808286875,808331625,44750.000,29667.000,8.082852584,808331625.000,8.083300083,1556874763309097264,448729,615497,1556874763309097264
10,3162,hash,all,3,1,1,666668,150,100000000,100000200,56833,788469375,788531958,62583.000,56833.000,7.884677981,788531958.000,7.885303809,1556874763309097264,448729,615497,1556874763309097264
10,3162,hash,all,4,1,1,666668,150,100000000,100000200,29958,779426334,779461500,35166.000,29958.000,7.794247752,779461500.000,7.794599411,1556874763309097264,448729,615497,1556874763309097264
10,3162,aho_corasick,all,0,1,1,666668,150,100000000,100000200,5201125,378100750,383406333,5305583.000,5201125.000,3.780999938,383406333.000,3.834055662,1556874763309097264,448729,615497,1556874763309097264
10,3162,aho_corasick,all,1,1,1,666668,150,100000000,100000200,4993083,358601125,363688833,5087708.000,4993083.000,3.586004078,363688833.000,3.636881056,1556874763309097264,448729,615497,1556874763309097264
10,3162,aho_corasick,all,2,1,1,666668,150,100000000,100000200,4849083,361990958,366931333,4940375.000,4849083.000,3.619902340,366931333.000,3.669305991,1556874763309097264,448729,615497,1556874763309097264
10,3162,aho_corasick,all,3,1,1,666668,150,100000000,100000200,4955292,375649875,380697000,5047125.000,4955292.000,3.756491237,380697000.000,3.806962386,1556874763309097264,448729,615497,1556874763309097264
10,3162,aho_corasick,all,4,1,1,666668,150,100000000,100000200,4966917,379812500,384866250,5053750.000,4966917.000,3.798117404,384866250.000,3.848654803,1556874763309097264,448729,615497,1556874763309097264
10,5,aho_corasick,all,0,1,52,12822,150,100000000,100011600,915625,129736084,130675334,18062.500,17608.173,1.297210364,129754146.500,1.297390968,11888437530397224244,333599,333815,11888437530397224244
10,5,aho_corasick,all,1,1,52,12822,150,100000000,100011600,916875,124560750,125500667,18075.327,17632.212,1.245463026,124578825.327,1.245643759,11888437530397224244,333599,333815,11888437530397224244
10,5,aho_corasick,all,2,1,52,12822,150,100000000,100011600,876958,123977667,124882167,17394.231,16864.577,1.239632873,123995061.231,1.239806795,11888437530397224244,333599,333815,11888437530397224244
10,5,aho_corasick,all,3,1,52,12822,150,100000000,100011600,920417,126607958,127557708,18264.423,17700.327,1.265932732,126626222.423,1.266115355,11888437530397224244,333599,333815,11888437530397224244
10,5,aho_corasick,all,4,1,52,12822,150,100000000,100011600,926667,133265084,134257542,19085.731,17820.519,1.332496270,133284169.731,1.332687106,11888437530397224244,333599,333815,11888437530397224244
10,5,hash,all,0,1,52,12822,150,100000000,100011600,126417,231458500,231596000,2644.231,2431.096,2.314316539,231461144.231,2.314342979,11888437530397224244,333599,333815,11888437530397224244
10,5,hash,all,1,1,52,12822,150,100000000,100011600,45083,216954083,217008250,1041.673,866.981,2.169289192,216955124.673,2.169299608,11888437530397224244,333599,333815,11888437530397224244
10,5,hash,all,2,1,52,12822,150,100000000,100011600,15792,214043500,214066292,438.308,303.692,2.140186738,214043938.308,2.140191121,11888437530397224244,333599,333815,11888437530397224244
10,5,hash,all,3,1,52,12822,150,100000000,100011600,22333,214637875,214666750,555.288,429.481,2.146129799,214638430.288,2.146135351,11888437530397224244,333599,333815,11888437530397224244
10,5,hash,all,4,1,52,12822,150,100000000,100011600,20459,214350666,214377834,522.462,393.442,2.143258042,214351188.462,2.143263266,11888437530397224244,333599,333815,11888437530397224244
10,5,bndmq,all,0,1,52,12822,150,100000000,100011600,109750,124445208,124560750,2221.962,2110.577,1.244307740,124447429.962,1.244329957,11888437530397224244,333599,333815,11888437530397224244
10,5,bndmq,all,1,1,52,12822,150,100000000,100011600,68208,119352833,119423291,1354.962,1311.692,1.193389897,119354187.962,1.193403445,11888437530397224244,333599,333815,11888437530397224244
10,5,bndmq,all,2,1,52,12822,150,100000000,100011600,61584,120777000,120840916,1229.154,1184.308,1.207629915,120778229.154,1.207642205,11888437530397224244,333599,333815,11888437530397224244
10,5,bndmq,all,3,1,52,12822,150,100000000,100011600,39708,119501208,119543417,811.712,763.615,1.194873475,119502019.712,1.194881591,11888437530397224244,333599,333815,11888437530397224244
10,5,bndmq,all,4,1,52,12822,150,100000000,100011600,116875,120168541,120288917,2314.923,2247.596,1.201546031,120170855.923,1.201569177,11888437530397224244,333599,333815,11888437530397224244
10,5623,hash,all,0,1,1,666668,150,100000000,100000200,63500,498064500,498138583,74083.000,63500.000,4.980635039,498138583.000,4.981375867,2394968541812563097,510440,835730,2394968541812563097
10,5623,hash,all,1,1,1,666668,150,100000000,100000200,76875,508057125,508152125,95000.000,76875.000,5.080561089,508152125.000,5.081511087,2394968541812563097,510440,835730,2394968541812563097
10,5623,hash,all,2,1,1,666668,150,100000000,100000200,87250,494750709,494849375,98666.000,87250.000,4.947497195,494849375.000,4.948483853,2394968541812563097,510440,835730,2394968541812563097
10,5623,hash,all,3,1,1,666668,150,100000000,100000200,49625,499674084,499735708,61624.000,49625.000,4.996730847,499735708.000,4.997347085,2394968541812563097,510440,835730,2394968541812563097
10,5623,hash,all,4,1,1,666668,150,100000000,100000200,47584,492707958,492767417,59459.000,47584.000,4.927069726,492767417.000,4.927664315,2394968541812563097,510440,835730,2394968541812563097
10,5623,aho_corasick,all,0,1,1,666668,150,100000000,100000200,8450625,464221000,472839000,8618000.000,8450625.000,4.642200716,472839000.000,4.728380543,2394968541812563097,510440,835730,2394968541812563097
10,5623,aho_corasick,all,1,1,1,666668,150,100000000,100000200,8383334,479955208,488496792,8541584.000,8383334.000,4.799542481,488496792.000,4.884958150,2394968541812563097,510440,835730,2394968541812563097
10,5623,aho_corasick,all,2,1,1,666668,150,100000000,100000200,8501083,523402959,532058292,8655333.000,8501083.000,5.234019122,532058292.000,5.320572279,2394968541812563097,510440,835730,2394968541812563097
10,5623,aho_corasick,all,3,1,1,666668,150,100000000,100000200,8523542,444126125,452819834,8693709.000,8523542.000,4.441252367,452819834.000,4.528189284,2394968541812563097,510440,835730,2394968541812563097
10,5623,aho_corasick,all,4,1,1,666668,150,100000000,100000200,8619000,449854958,458629625,8774667.000,8619000.000,4.498540583,458629625.000,4.586287077,2394968541812563097,510440,835730,2394968541812563097
10,6,aho_corasick,all,0,1,43,15504,150,100000000,100000800,875416,126286792,127192500,21062.977,20358.512,1.262857817,126307854.977,1.263068445,883688603394637402,333596,333861,883688603394637402
10,6,aho_corasick,all,1,1,43,15504,150,100000000,100000800,853417,124132000,125009667,20410.860,19846.907,1.241310070,124152410.860,1.241514176,883688603394637402,333596,333861,883688603394637402
10,6,aho_corasick,all,2,1,43,15504,150,100000000,100000800,885542,125982750,126905792,21466.093,20594.000,1.259817421,126004216.093,1.260032081,883688603394637402,333596,333861,883688603394637402
10,6,aho_corasick,all,3,1,43,15504,150,100000000,100000800,851750,124758833,125637375,20431.209,19808.140,1.247578349,124779264.209,1.247782660,883688603394637402,333596,333861,883688603394637402
10,6,aho_corasick,all,4,1,43,15504,150,100000000,100000800,908625,124560500,125494417,21719.000,21130.814,1.245595035,124582219.000,1.245812224,883688603394637402,333596,333861,883688603394637402
10,6,hash,all,0,1,43,15504,150,100000000,100000800,63083,225986375,226058125,1668.605,1467.047,2.259845671,225988043.605,2.259862357,883688603394637402,333596,333861,883688603394637402
10,6,hash,all,1,1,43,15504,150,100000000,100000800,22959,223098583,223127459,671.535,533.930,2.230967982,223099254.535,2.230974698,883688603394637402,333596,333861,883688603394637402
10,6,hash,all,2,1,43,15504,150,100000000,100000800,27625,224092250,224125750,779.070,642.442,2.240904573,224093029.070,2.240912363,883688603394637402,333596,333861,883688603394637402
10,6,hash,all,3,1,43,15504,150,100000000,100000800,15083,223517125,223538250,491.279,350.767,2.235153369,223517616.279,2.235158282,883688603394637402,333596,333861,883688603394637402
