k,patterns,algorithm,mode,status,wall_ms,detail
10,3162,hash,all,ok,4052,
10,3162,aho_corasick,all,ok,1980,
10,3162,bndmq,all,timed_out,60012,hard timeout after 60 seconds
10,5,aho_corasick,all,ok,765,
10,5,hash,all,ok,1188,
10,5,bndmq,all,ok,716,
10,5623,hash,all,ok,2612,
10,5623,bndmq,all,timed_out,60024,hard timeout after 60 seconds
10,5623,aho_corasick,all,ok,2517,
10,6,aho_corasick,all,ok,737,
10,6,hash,all,ok,1216,
10,6,bndmq,all,ok,822,
104,64,aho_corasick,all,ok,1182,
104,64,bndmq,all,invalid,0,BNDMq limit is 64 bytes
104,64,hash,all,ok,1136,
11,6,hash,all,ok,1382,
11,6,aho_corasick,all,ok,784,
11,6,bndmq,all,ok,772,
112,128,bndmq,all,invalid,0,BNDMq limit is 64 bytes
112,128,hash,all,ok,1069,
112,128,aho_corasick,all,ok,1133,
112,256,bndmq,all,invalid,0,BNDMq limit is 64 bytes
112,256,aho_corasick,all,ok,1562,
112,256,hash,all,ok,1644,
112,64,aho_corasick,all,ok,1387,
112,64,hash,all,ok,1032,
112,64,bndmq,all,invalid,0,BNDMq limit is 64 bytes
12,3162,aho_corasick,all,ok,2257,
12,3162,hash,all,ok,4844,
12,3162,bndmq,all,timed_out,60033,hard timeout after 60 seconds
12,5623,hash,all,ok,2834,
12,5623,bndmq,all,timed_out,60020,hard timeout after 60 seconds
12,5623,aho_corasick,all,ok,2263,
12,6,bndmq,all,ok,842,
12,6,aho_corasick,all,ok,939,
12,6,hash,all,ok,1628,
12,7,aho_corasick,all,ok,737,
12,7,hash,all,ok,1279,
12,7,bndmq,all,ok,815,
120,256,bndmq,all,invalid,0,BNDMq limit is 64 bytes
120,256,hash,all,ok,1282,
120,256,aho_corasick,all,ok,1747,
128,108,aho_corasick,all,ok,1899,
128,108,hash,all,ok,1926,
128,108,bndmq,all,invalid,0,BNDMq limit is 64 bytes
128,181,bndmq,all,invalid,0,BNDMq limit is 64 bytes
128,181,hash,all,ok,1667,
128,181,aho_corasick,all,ok,1248,
128,215,bndmq,all,invalid,0,BNDMq limit is 64 bytes
128,215,hash,all,ok,1796,
