wave,axis,k,patterns,mode,lower_k,upper_k,lower_patterns,upper_patterns,lower_algorithm,upper_algorithm,complete
1,patterns,4,3,all,4,4,2,4,bndmq,aho_corasick,yes
1,patterns,4,3,first,4,4,2,4,bndmq,aho_corasick,yes
1,patterns,4,91,first,4,4,64,128,aho_corasick,hash,yes
1,patterns,4,108,first,4,4,91,128,aho_corasick,hash,yes
1,patterns,4,118,first,4,4,108,128,aho_corasick,hash,yes
1,k,5,128,first,4,6,128,128,hash,aho_corasick,yes
1,k,5,256,first,4,6,256,256,hash,aho_corasick,yes
1,patterns,6,3,all,6,6,2,4,bndmq,aho_corasick,yes
1,patterns,6,3,first,6,6,2,4,bndmq,aho_corasick,yes
1,k,7,1,all,6,8,1,1,aho_corasick,bndmq,yes
1,k,7,4,all,6,8,4,4,aho_corasick,bndmq,yes
1,k,7,4,first,6,8,4,4,aho_corasick,bndmq,yes
1,patterns,7,360,first,7,7,256,506,aho_corasick,hash,yes
1,patterns,7,506,first,7,7,256,1000,aho_corasick,hash,yes
1,k,7,1000,all,6,8,1000,1000,aho_corasick,hash,yes
1,k,7,1000,first,6,8,1000,1000,aho_corasick,hash,yes
1,patterns,8,5,all,8,8,4,6,bndmq,aho_corasick,yes
1,patterns,8,5,first,8,8,4,6,bndmq,aho_corasick,yes
1,patterns,8,6,all,8,8,4,8,bndmq,aho_corasick,yes
1,patterns,8,6,first,8,8,4,8,bndmq,aho_corasick,yes
1,patterns,8,360,all,8,8,256,506,aho_corasick,hash,yes
1,patterns,8,360,first,8,8,256,506,aho_corasick,hash,yes
1,patterns,8,427,all,8,8,360,506,aho_corasick,hash,yes
1,patterns,8,427,first,8,8,360,506,aho_corasick,hash,yes
1,patterns,8,506,all,8,8,256,1000,aho_corasick,hash,yes
1,patterns,8,506,first,8,8,256,1000,aho_corasick,hash,yes
1,k,9,5,all,8,10,5,5,aho_corasick,bndmq,yes
1,k,9,5,first,8,10,5,5,aho_corasick,bndmq,yes
1,patterns,10,5,all,10,10,4,6,bndmq,aho_corasick,yes
1,patterns,10,5,first,10,10,4,6,bndmq,aho_corasick,yes
1,patterns,10,6,all,10,10,4,8,bndmq,aho_corasick,yes
1,patterns,10,6,first,10,10,4,8,bndmq,aho_corasick,yes
1,patterns,10,360,all,10,10,256,506,aho_corasick,hash,yes
1,patterns,10,360,first,10,10,256,506,aho_corasick,hash,yes
1,patterns,10,427,all,10,10,360,506,aho_corasick,hash,yes
1,patterns,10,427,first,10,10,360,506,aho_corasick,hash,yes
1,patterns,10,506,all,10,10,256,1000,aho_corasick,hash,yes
1,patterns,10,506,first,10,10,256,1000,aho_corasick,hash,yes
1,k,11,1,first,10,12,1,1,aho_corasick,bndmq,yes
1,patterns,11,4,first,11,11,1,16,bndmq,aho_corasick,yes
1,k,11,6,all,10,12,6,6,aho_corasick,bndmq,yes
1,patterns,11,16,first,11,11,1,256,bndmq,hash,yes
1,patterns,11,64,first,11,11,16,256,aho_corasick,hash,yes
