k,patterns,mode,selected_algorithm,oracle_algorithm,held_out_regret_pct,selected_ns_per_base,oracle_ns_per_base
4,1,all,aho_corasick,aho_corasick,0.0000,0.367956933,0.367956933
4,1,first,aho_corasick,aho_corasick,0.0000,0.090775451,0.090775451
4,16,all,aho_corasick,aho_corasick,0.0000,2.261185777,2.261185777
4,16,first,aho_corasick,hash,3.7338,0.226545000,0.218390748
4,256,all,aho_corasick,aho_corasick,0.0000,7.094856195,7.094856195
4,256,first,aho_corasick,hash,13.8778,0.066994375,0.058830068
8,1,all,aho_corasick,aho_corasick,0.0000,0.313310121,0.313310121
8,1,first,aho_corasick,aho_corasick,0.0000,0.165583763,0.165583763
8,16,all,aho_corasick,aho_corasick,0.0000,2.117552987,2.117552987
8,16,first,aho_corasick,aho_corasick,0.0000,1.847898268,1.847898268
8,256,all,aho_corasick,aho_corasick,0.0000,2.152367257,2.152367257
8,256,first,aho_corasick,aho_corasick,0.0000,1.642294201,1.642294201
8,1000,all,aho_corasick,aho_corasick,0.0000,2.422419805,2.422419805
8,1000,first,aho_corasick,aho_corasick,0.0000,0.899672033,0.899672033
31,1,all,aho_corasick,bndmq,107.7544,0.323023718,0.155483455
31,1,first,aho_corasick,aho_corasick,0.0000,0.140317847,0.140317847
31,16,all,aho_corasick,bndmq,12.8704,1.876420503,1.662456140
31,16,first,aho_corasick,bndmq,2.1888,1.543973665,1.510903333
31,256,all,aho_corasick,aho_corasick,0.0000,1.888695015,1.888695015
31,256,first,aho_corasick,aho_corasick,0.0000,1.760094502,1.760094502
31,1000,all,aho_corasick,aho_corasick,0.0000,2.055632962,2.055632962
31,1000,first,aho_corasick,aho_corasick,0.0000,1.478174895,1.478174895
80,1,all,aho_corasick,aho_corasick,0.0000,0.804126051,0.804126051
80,1,first,aho_corasick,aho_corasick,0.0000,0.476815152,0.476815152
80,16,all,aho_corasick,aho_corasick,0.0000,1.628937590,1.628937590
80,16,first,aho_corasick,aho_corasick,0.0000,1.771402183,1.771402183
80,256,all,aho_corasick,aho_corasick,0.0000,1.718540660,1.718540660
80,256,first,aho_corasick,aho_corasick,0.0000,1.671739276,1.671739276
80,1000,all,aho_corasick,hash,39.4188,2.390549517,1.714653285
80,1000,first,aho_corasick,aho_corasick,0.0000,1.909826807,1.909826807
