k,mode,best_q,median_ns_per_base,second_q,margin_pct
4,all,3,0.724833806,2,23.0905
4,first,3,0.549901326,2,25.2089
5,all,3,0.590485458,4,15.9073
5,first,3,0.452909834,4,15.9342
6,all,4,0.511396196,3,0.5145
6,first,4,0.377968682,3,4.6977
7,all,4,0.414252099,3,11.2935
7,first,4,0.315829379,3,15.5283
8,all,4,0.356684791,5,14.9292
8,first,4,0.275697174,5,17.4848
9,all,4,0.317225456,5,9.2311
9,first,4,0.243297577,5,12.9641
10,all,4,0.290886561,5,5.2671
10,first,4,0.228041331,5,7.6479
11,all,5,0.270792109,4,0.3835
11,first,4,0.215760122,5,1.0989
12,all,5,0.251795024,4,1.6534
12,first,4,0.205078979,5,1.8314
13,all,5,0.236579478,4,2.5511
13,first,4,0.194945865,5,1.1949
14,all,5,0.222013265,4,5.1755
14,first,5,0.187280799,4,2.2425
15,all,5,0.216192037,6,5.0200
15,first,5,0.181906314,4,4.6586
16,all,5,0.207773427,6,5.8113
16,first,5,0.181359889,4,3.5138
17,all,5,0.202231934,6,4.9438
17,first,5,0.174998177,4,4.3651
18,all,5,0.200864583,6,4.2534
18,first,5,0.171957372,4,4.6291
19,all,5,0.194494103,6,4.4884
19,first,5,0.170082516,6,4.5409
20,all,5,0.195361947,6,1.2092
20,first,5,0.168485790,6,3.2680
21,all,5,0.190957743,6,2.6932
21,first,5,0.166240569,6,4.4018
22,all,5,0.191272803,6,0.8568
22,first,5,0.167421409,6,1.5920
23,all,5,0.186728728,6,2.3995
23,first,5,0.163876670,6,4.0818
24,all,6,0.189653676,5,0.0570
24,first,5,0.167481461,6,0.2467
25,all,5,0.183050724,6,2.7929
25,first,5,0.165128857,6,2.7742
26,all,6,0.183451267,5,1.8905
26,first,6,0.165119171,5,0.5304
27,all,6,0.186095768,5,0.7429
27,first,6,0.168005923,5,0.3705
28,all,6,0.188078350,5,0.8357
28,first,5,0.168271951,6,0.6136
29,all,5,0.185540517,6,2.4299
29,first,5,0.171150934,6,3.5389
30,all,6,0.183884303,5,2.2099
30,first,6,0.168029240,5,0.6205
31,all,6,0.188212221,5,1.1268
31,first,6,0.169543915,5,0.8689
32,all,6,0.188722610,5,1.4015
32,first,6,0.172923762,7,0.4761
33,all,6,0.189285990,5,0.8806
33,first,6,0.173752043,5,0.0953
34,all,5,0.188751221,6,1.0303
34,first,5,0.171838337,6,1.4956
35,all,6,0.188084352,5,1.4175
35,first,7,0.172407362,6,0.0006
36,all,6,0.190709432,5,2.1558
36,first,6,0.174898571,7,0.9718
37,all,6,0.194029626,5,1.8606
37,first,6,0.176057460,7,1.3366
38,all,6,0.197045720,5,1.1956
38,first,6,0.178842189,7,0.5834
39,all,6,0.197271771,5,2.1258
39,first,6,0.185754564,7,1.0557
40,all,6,0.199691281,5,1.7343
40,first,7,0.184310981,6,0.6987
41,all,5,0.198275604,6,0.0607
41,first,5,0.183428311,6,0.5390
42,all,6,0.196478458,5,3.3371
42,first,6,0.181566518,5,2.9480
43,all,6,0.200494834,8,0.0396
43,first,7,0.188117557,6,0.6510
44,all,6,0.202372157,7,0.8952
44,first,6,0.186756270,7,2.1591
45,all,6,0.204080800,8,0.9959
45,first,6,0.188493373,9,2.2071
46,all,6,0.207253347,7,0.8792
46,first,6,0.190284170,7,1.2778
47,all,6,0.208412598,8,1.0590
47,first,6,0.194204119,7,1.7215
48,all,6,0.210970133,7,1.5582
48,first,6,0.195903422,7,1.2711
49,all,6,0.210988363,8,0.7758
49,first,6,0.198663788,5,3.1434
50,all,6,0.212493896,7,1.4729
50,first,6,0.197695626,7,2.3192
51,all,6,0.214027832,7,1.3173
51,first,6,0.201935238,7,1.0602
52,all,6,0.213918467,7,1.7525
52,first,6,0.201789012,7,0.9744
53,all,5,0.211949249,6,0.6607
53,first,5,0.201022675,6,0.6365
54,all,6,0.211544881,5,1.3901
54,first,6,0.200970968,5,2.0860
55,all,6,0.214015544,8,0.7397
55,first,7,0.204134335,6,0.1381
56,all,6,0.217725545,7,1.5535
56,first,9,0.205214600,6,0.6331
57,all,6,0.221406301,7,0.9229
57,first,6,0.208875875,9,0.0868
58,all,6,0.223404775,8,0.1770
58,first,7,0.211828023,6,0.0126
59,all,6,0.225702494,8,1.0295
59,first,9,0.214668701,6,0.1805
60,all,6,0.228419830,9,0.7447
60,first,6,0.217364421,9,0.0218
61,all,8,0.232654572,9,0.9710
61,first,9,0.220037242,6,0.3566
62,all,6,0.234710276,8,0.1703
62,first,6,0.222958883,9,0.3663
63,all,8,0.235985229,6,0.3021
63,first,9,0.225928843,6,0.1403
64,all,6,0.237711589,8,0.3195
64,first,6,0.227213959,9,0.8691
