k,q,mode,runs,median_ns_per_base,mean_ns_per_base,stddev_ns_per_base,min_ns_per_base,max_ns_per_base,slower_than_best_pct
4,1,all,15,1.600784709,1.594176955,0.016393751,1.561506042,1.607070465,120.8485
4,1,first,15,1.242745717,1.244607429,0.006530821,1.237803599,1.263393809,125.9943
4,2,all,15,0.892201538,0.890256244,0.010754629,0.863987605,0.904529368,23.0905
4,2,first,15,0.688525314,0.689930386,0.004490708,0.682156881,0.701440175,25.2089
4,3,all,15,0.724833806,0.724048330,0.005367863,0.709740321,0.728480021,0.0000
4,3,first,15,0.549901326,0.550140735,0.002348750,0.546569824,0.554259618,0.0000
4,4,all,15,1.195468903,1.192620741,0.009595212,1.167725474,1.201343536,64.9301
4,4,first,15,0.914622421,0.915196528,0.003667830,0.911681925,0.925890605,66.3248
5,1,all,15,1.344454041,1.347387661,0.009607344,1.333518575,1.362968038,127.6862
5,1,first,15,1.064050446,1.058361332,0.009702059,1.045044810,1.071520894,134.9365
5,2,all,15,0.845802104,0.852951757,0.013282994,0.841205393,0.884138743,43.2384
5,2,first,15,0.670154368,0.666841080,0.007363639,0.656611125,0.675347646,47.9664
5,3,all,15,0.590485458,0.589545215,0.006862997,0.580013072,0.604443029,0.0000
5,3,first,15,0.452909834,0.452409438,0.004509173,0.446357727,0.458043416,0.0000
5,4,all,15,0.684416021,0.686024702,0.010029682,0.674505234,0.711374283,15.9073
5,4,first,15,0.525077184,0.523097360,0.005090601,0.514797618,0.530745188,15.9342
5,5,all,15,1.396456807,1.406506147,0.024802052,1.384603678,1.486019592,136.4930
5,5,first,15,1.073307444,1.070527540,0.010953061,1.053638458,1.084713440,136.9804
6,1,all,15,1.165110270,1.167516069,0.008335256,1.156152089,1.185256093,127.8293
6,1,first,15,0.911318461,0.913629318,0.012594809,0.899965490,0.953858693,141.1095
6,2,all,15,0.820869853,0.817631477,0.010068338,0.805025101,0.833457311,60.5154
6,2,first,15,0.639369761,0.639299891,0.004331906,0.633267288,0.649335658,69.1595
6,3,all,15,0.514027278,0.517319782,0.008913473,0.507926941,0.539544423,0.5145
6,3,first,15,0.395724691,0.397051636,0.005182943,0.391909993,0.413022936,4.6977
