k,q,mode,run,iterations,patterns,sequences_per_pattern,sequence_length,bases,elapsed_ns,ns_per_base,checksum
4,4,first,0,2,256,512,150,39321600,35900750,0.913003286,131072
4,1,first,0,1,256,512,150,19660800,24454916,1.243841349,65536
4,2,first,0,2,256,512,150,39321600,26945000,0.685246785,131072
4,3,first,0,2,256,512,150,39321600,21579375,0.548791885,131072
4,2,first,1,2,256,512,150,39321600,27255625,0.693146388,131072
4,4,first,1,2,256,512,150,39321600,36006208,0.915685221,131072
4,3,first,1,2,256,512,150,39321600,21794375,0.554259618,131072
4,1,first,1,1,256,512,150,19660800,24556542,1.249010315,65536
4,4,first,2,2,256,512,150,39321600,36021584,0.916076253,131072
4,2,first,2,2,256,512,150,39321600,27251458,0.693040415,131072
4,1,first,2,1,256,512,150,19660800,24574125,1.249904633,65536
4,3,first,2,2,256,512,150,39321600,21766667,0.553554967,131072
4,1,first,3,1,256,512,150,19660800,24429375,1.242542267,65536
4,2,first,3,2,256,512,150,39321600,27037000,0.687586466,131072
4,3,first,3,2,256,512,150,39321600,21751000,0.553156535,131072
4,4,first,3,2,256,512,150,39321600,36154375,0.919453303,131072
4,1,first,4,1,256,512,150,19660800,24388041,1.240439911,65536
4,4,first,4,2,256,512,150,39321600,35848792,0.911681925,131072
4,2,first,4,2,256,512,150,39321600,27071208,0.688456421,131072
4,3,first,4,2,256,512,150,39321600,21543916,0.547890116,131072
4,1,first,5,1,256,512,150,19660800,24839333,1.263393809,65536
4,2,first,5,2,256,512,150,39321600,27222041,0.692292302,131072
4,3,first,5,2,256,512,150,39321600,21648875,0.550559362,131072
4,4,first,5,2,256,512,150,39321600,35909292,0.913220520,131072
4,3,first,6,2,256,512,150,39321600,21577750,0.548750559,131072
4,1,first,6,1,256,512,150,19660800,24386333,1.240353038,65536
4,4,first,6,2,256,512,150,39321600,36044000,0.916646322,131072
4,2,first,6,2,256,512,150,39321600,27013500,0.686988831,131072
4,1,first,7,1,256,512,150,19660800,24353500,1.238683065,65536
4,2,first,7,2,256,512,150,39321600,27131125,0.689980189,131072
4,3,first,7,2,256,512,150,39321600,21623000,0.549901326,131072
4,4,first,7,2,256,512,150,39321600,36006875,0.915702184,131072
4,2,first,8,2,256,512,150,39321600,27050667,0.687934036,131072
4,1,first,8,1,256,512,150,19660800,24433375,1.242745717,65536
4,3,first,8,2,256,512,150,39321600,21684292,0.551460063,131072
4,4,first,8,2,256,512,150,39321600,35919542,0.913481191,131072
